模型,TemplateCode,分类,免费额度,已消耗,剩余比例,剩余比例值,到期时间,到期提示,状态,Safemode,SupportSafe,当前容量,初始容量
qwen3.8-max,sfm_inference_public_cn_20260801134345_0451,llm,1M tokens,1M tokens,0%,0,2026-11-01,剩余 66 天,exhaust,off,True,0.0,1000000.0
deepseek-v4-pro-0813,sfm_inference_public_cn_20260814174235_0443,llm,1M tokens,1M tokens,0%,0,2026-11-13,剩余 78 天,exhaust,off,True,0.0,1000000.0
deepseek-v4-flash,sfm_inference_public_cn_20260424142529_0175,llm,1M tokens,42 tokens,100.0%,100.0,2026-10-21,剩余 55 天,valid,off,True,999958.0,1000000.0
deepseek-v4-pro,sfm_inference_public_cn_20260424142445_0182,llm,1M tokens,1M tokens,0%,0,2026-10-21,剩余 55 天,exhaust,off,True,0.0,1000000.0
deepseek-v3.2,sfm_inference_public_cn_20251202145200_0314,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-v3.2-exp,sfm_inference_public_cn_20251111095845_0862,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-v3.1,sfm_inference_public_cn_20251111095844_0234,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-r1,sfm_inference_public_cn_20251111095837_0935,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-r1-0528,sfm_inference_public_cn_20251111095838_0282,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-r1-distill-qwen-32b,sfm_inference_public_cn_20251111095840_0103,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-r1-distill-qwen-14b,sfm_inference_public_cn_20251111095839_0530,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-r1-distill-qwen-7b,sfm_inference_public_cn_20251111095842_0530,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
deepseek-v3,sfm_inference_public_cn_20251111095843_0760,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
kimi-k2.7-code,sfm_inference_public_cn_20260615001005_0594,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
kimi-k2.6,sfm_inference_public_cn_20260421152429_0722,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
kimi-k2.5,sfm_inference_public_cn_20260130104302_0863,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
kimi-k2-thinking,sfm_inference_public_cn_20251112141308_0851,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
Moonshot-Kimi-K2-Instruct,sfm_inference_public_cn_20251111095817_0882,llm,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
happyhorse-1.1-i2v,sfm_inferenceHH_public_cn_20260621213714_0685,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.0-i2v,sfm_inferenceHH_public_cn_20260421145700_0769,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.1-t2v,sfm_inferenceHH_public_cn_20260621213600_0954,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.0-t2v,sfm_inferenceHH_public_cn_20260421145744_0729,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.1-r2v,sfm_inferenceHH_public_cn_20260621213756_0665,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
happyhorse-1.0-r2v,sfm_inferenceHH_public_cn_20260425163749_0773,visual,10 seconds,0 seconds,100%,100,2026-10-21,剩余 55 天,valid,off,True,10.0,10.0
qwen-audio-3.0-realtime-flash,sfm_inferenceFunAudio_public_cn_20260708100720_0276,speech,1M tokens,0 tokens,100%,100,2026-10-21,剩余 55 天,valid,off,True,1000000.0,1000000.0
